Timestamp, Angle, Distance(cm)
13:54:14, 0, 200
13:54:14, 16, 38
13:54:14, 17, 200
13:54:14, 18, 200
13:54:14, 19, 200
13:54:14, 20, 200
13:54:14, 21, 200
13:54:15, 22, 200
13:54:15, 23, 200
13:54:15, 24, 200
13:54:15, 25, 200
13:54:15, 26, 200
13:54:15, 27, 200
13:54:15, 28, 200
13:54:15, 29, 200
13:54:15, 30, 200
13:54:15, 31, 200
13:54:15, 32, 200
13:54:15, 33, 200
13:54:15, 34, 200
13:54:15, 35, 200
13:54:15, 36, 200
13:54:15, 37, 200
13:54:15, 38, 200
13:54:15, 39, 200
13:54:15, 40, 200
13:54:15, 41, 200
13:54:15, 42, 200
13:54:15, 43, 200
13:54:15, 44, 200
13:54:15, 45, 200
13:54:15, 46, 200
13:54:15, 47, 200
13:54:16, 48, 200
13:54:16, 49, 200
13:54:16, 50, 200
13:54:16, 51, 200
13:54:16, 52, 200
13:54:16, 53, 200
13:54:16, 54, 200
13:54:16, 55, 200
13:54:16, 56, 200
13:54:16, 57, 200
13:54:16, 58, 200
13:54:16, 59, 200
13:54:16, 60, 200
13:54:16, 61, 200
13:54:16, 62, 200
13:54:16, 63, 200
13:54:16, 64, 200
13:54:16, 65, 200
13:54:16, 66, 200
13:54:16, 67, 200
13:54:16, 68, 200
13:54:16, 69, 200
13:54:16, 70, 200
13:54:16, 71, 200
13:54:16, 72, 200
13:54:16, 73, 200
13:54:17, 74, 200
13:54:17, 75, 200
13:54:17, 76, 200
13:54:17, 77, 200
13:54:17, 78, 200
13:54:17, 79, 200
13:54:17, 80, 200
13:54:17, 81, 200
13:54:17, 82, 200
13:54:17, 83, 200
13:54:17, 84, 200
13:54:17, 85, 200
13:54:17, 86, 200
13:54:17, 87, 200
13:54:17, 88, 200
13:54:17, 89, 200
13:54:17, 90, 200
13:54:17, 91, 200
13:54:17, 92, 200
13:54:17, 93, 200
13:54:17, 94, 5
13:54:17, 95, 5
13:54:17, 96, 4
13:54:17, 97, 4
13:54:17, 98, 4
13:54:17, 99, 5
13:54:17, 100, 5
13:54:18, 101, 5
13:54:18, 102, 6
13:54:18, 103, 6
13:54:18, 104, 6
13:54:18, 105, 6
13:54:18, 106, 7
13:54:18, 107, 7
13:54:18, 108, 6
13:54:18, 109, 6
13:54:18, 110, 6
13:54:18, 111, 200
13:54:18, 112, 200
13:54:18, 113, 200
13:54:18, 114, 200
13:54:18, 115, 200
13:54:18, 116, 200
13:54:18, 117, 200
13:54:18, 118, 200
13:54:18, 119, 7
13:54:18, 120, 7
13:54:18, 121, 7
13:54:18, 122, 7
13:54:18, 123, 9
13:54:18, 124, 7
13:54:18, 125, 6
13:54:18, 126, 6
13:54:18, 127, 6
13:54:18, 128, 7
13:54:18, 129, 7
13:54:19, 130, 12
13:54:19, 131, 8
13:54:19, 132, 6
13:54:19, 133, 7
13:54:19, 134, 7
13:54:19, 135, 7
13:54:19, 136, 6
13:54:19, 137, 7
13:54:19, 138, 7
13:54:19, 139, 7
13:54:19, 140, 7
13:54:19, 141, 7
13:54:19, 142, 8
13:54:19, 143, 9
13:54:19, 144, 9
